         n | error
    ---------------
         2 | 0.000995624263733
         4 | 0.000000881407616
         8 | 0.000000000001191
        16 | 0.000000000000001
        32 | 0.000000000000001
        64 | 0.000000000000001
       128 | 0.000000000000001
       256 | 0.000000000000001
       512 | 0.000000000000001
      1024 | 0.000000000000001
      2048 | 0.000000000000001
      4096 | 0.000000000000001
      8192 | 0.000000000000001
     16384 | 0.000000000000001
     32768 | 0.000000000000001
     65536 | 0.000000000000001
    131072 | 0.000000000000001
    262144 | 0.000000000000001
    524288 | 0.000000000000001
   1048576 | 0.000000000000001
   2097152 | 0.000000000000001
   4194304 | 0.000000000000001
   8388608 | 0.000000000000001
  16777216 | 0.000000000000001
