         n | error
    ---------------
         2 | 0.402979866063963
         4 | 0.218979667464763
         8 | 0.114294796931950
        16 | 0.058399633250339
        32 | 0.029518814978706
        64 | 0.014839863800788
       128 | 0.007440131818275
       256 | 0.003725126454194
       512 | 0.001863829673533
      1024 | 0.000932231611481
      2048 | 0.000466195019763
      4096 | 0.000233117315921
      8192 | 0.000116563609793
     16384 | 0.000058283042892
     32768 | 0.000029141830953
     65536 | 0.000014570992831
    131072 | 0.000007285515745
    262144 | 0.000003642762696
    524288 | 0.000001821382538
   1048576 | 0.000000910691548
   2097152 | 0.000000455345837
   4194304 | 0.000000227672987
   8388608 | 0.000000113837022
  16777216 | 0.000000056922833
